id,yearly_income,prev_delinquencies,previous_defaults,debt_to_income,Zip_code,loan_amount,open_accounts,default
95074,633600,0,0,12.5496,91300,42023.25,17,0
134131,85483.2,0,0,9.0048,27400,38133,15,0
92602,79200,0,0,24.9144,32800,17100,7,0
22591,61600,0,0,16.5816,7000,5130,9,1
125060,68053.92,0,0,40.0512,70800,19665,10,0
21803,219648,4,0,26.4264,77000,34200,11,0
141442,88000,0,0,19.152,92100,34200,10,0
138407,149600,0,0,13.3056,78500,17100,10,0
80002,105600,0,0,40.9584,95900,34200,10,0
139117,237600,0,0,32.4408,49400,59850,15,0
105040,70400,1,0,14.364,32800,12312,9,0
68853,246400,0,0,22.7472,72200,20520,9,0
36240,132000,0,0,14.8008,91900,11970,10,0
112698,58080,0,0,21.3864,59100,13551.75,9,0
67755,61600,0,0,42.4368,28300,7652.25,10,0
111121,184800,0,0,30.3576,80800,34200,17,0
134894,123200,0,0,16.9344,72900,41040,10,0
38466,45760,0,0,51.8112,45000,17955,14,0
111030,63360,0,0,41.6136,27500,25821,8,0
43862,79200,1,0,43.1424,87100,26505,13,1
67704,88000,0,0,52.4664,55000,14364,26,0
129650,114400,0,0,50.3496,30300,41040,27,0
22429,186560,1,0,30.2568,11700,46170,12,0
73674,237600,1,0,25.5192,20800,47880,11,1
47730,123200,1,0,37.5312,32500,14235.75,7,0
132540,96800,1,0,36.4392,35400,10260,10,0
103454,79200,0,0,40.6728,28000,22230,15,0
65120,47520,0,0,9.912,17700,4104,8,0
87701,131049.6,0,0,30.7608,95800,27360,14,1
48724,78320,0,0,17.1024,85700,25650,16,1
38859,38494.72,0,0,14.6664,84400,13637.25,17,0
52494,70400,2,0,20.916,16800,17100,6,0
57797,79200,2,0,36.4728,44700,20306.25,14,0
90722,161557.44,0,0,39.2448,2100,23940,15,1
76262,220000,1,0,34.944,76000,34200,39,0
67792,211200,0,0,48.6192,85300,25650,9,0
106206,56320,0,0,37.6824,78700,17100,9,0
123991,221760,0,0,9.4584,20100,41040,8,1
102584,72160,0,0,26.5104,27200,20520,7,1
49733,61600,0,0,23.9064,48500,21375,19,0
141082,88000,0,0,13.104,77300,10260,10,0
28276,140800,0,0,13.4232,45200,19152,10,0
142510,77440,0,0,32.8104,61800,16672.5,6,0
98486,84480,0,0,56.952,71400,25650,14,1
24282,88000,0,0,19.824,32800,34200,9,0
145696,264000,1,0,11.6256,20100,49590,15,1
86438,35200,0,0,37.296,18700,4702.5,5,1
134396,72160,0,0,38.0184,23400,6840,8,0
51541,202400,0,0,0.9072,92500,27360,20,0
43307,161920,0,0,40.7232,11200,41040,19,0
98103,176000,3,0,21.1344,13000,59850,8,0
125962,134914.56,0,0,36.6576,36500,59850,14,0
22251,149600,0,0,18.9,92600,17100,6,0
144193,21120,0,0,37.8,11300,8550,11,0
96437,89172.16,0,0,45.8808,53500,19152,9,0
76462,86416,0,0,54.9864,77000,34200,16,0
140227,31680,1,0,17.6904,18700,4104,12,0
49023,102080,0,0,27.5016,95100,45614.25,9,0
122874,109736,0,0,40.656,92000,28215,12,0
118586,112640,0,0,28.5096,77000,18810,13,0
47159,145252.8,0,0,23.7888,70800,22230,7,0
100491,84480,0,0,24.7296,96700,6840,7,0
113913,122284.8,0,0,38.1024,12000,10260,12,0
98678,48400,0,0,39.0768,11200,8208,11,0
106774,112640,0,0,52.3824,91700,17100,17,0
22501,246400,0,0,28.1904,2100,47880,10,0
137734,56320,0,0,57.6576,2900,9576,11,0
125125,70400,1,0,48.636,70000,20520,17,0
65599,157852.64,1,0,10.836,11600,10046.25,5,0
119030,171107.2,0,0,60.0936,48200,51300,30,0
61628,140800,0,0,12.4992,18000,13680,15,1
95154,112640,0,0,20.5968,10000,10260,15,1
98524,228800,0,0,20.328,8900,34200,8,1
109460,154176,0,0,24.3096,38000,34200,13,0
109373,84480,0,0,53.7768,28200,32661,34,0
134639,61600,0,0,22.5288,33100,27488.25,18,0
111198,396000,0,0,21.7056,30300,11970,8,0
49810,142560,0,0,51.0048,99200,39672,18,0
29565,54560,0,0,57.036,12500,6840,12,0
89716,77440,1,0,30.6096,33000,8550,10,0
78267,158400,0,0,14.4312,73000,34200,6,0
130003,220000,3,0,36.5568,33300,32490,11,0
113311,82720,0,0,46.536,5700,35354.25,14,0
110710,96800,0,0,9.0216,37900,8208,11,1
30514,202400,1,0,28.9464,78700,59850,21,0
104978,52800,1,0,54.0288,90000,17100,15,0
66458,132000,0,0,11.0544,94100,4617,7,1
31562,220000,0,0,25.0992,89000,17100,21,0
121722,205920,0,0,15.036,74000,23940,14,0
54667,158400,0,0,4.62,47100,17100,10,0
142944,84480,0,0,27.216,33400,22230,9,0
77597,114400,1,0,43.5792,99500,28984.5,14,1
144049,140800,0,0,23.2008,20800,34200,18,0
136440,154880,0,0,32.6088,32900,11970,20,0
53897,105600,0,0,30.4752,43700,34200,10,0
143090,117920,1,0,7.1568,38100,15390,11,0
89937,65120,0,0,50.9376,29600,6412.5,11,1
131049,233200,0,0,32.6928,6400,42750,24,0
76299,65472,0,0,26.3928,21200,6156,10,0
138015,42240,0,0,5.0232,55100,3420,8,1
100442,66880,1,0,48.7704,73000,23940,8,0
112931,193600,0,0,10.8024,46400,35568,8,0
119430,79200,0,0,49.6776,94500,27360,15,0
116139,70400,2,0,35.3808,11300,8550,11,0
62678,56320,0,0,43.4784,33800,11970,12,0
90061,593120,1,1,22.0416,33400,51300,12,0
43519,79200,1,0,16.128,18000,8550,14,0
30004,78496,0,0,23.2344,10400,35055,15,0
42309,77440,0,0,26.9472,11000,11970,10,0
98591,211200,0,0,29.9544,69300,47880,16,0
35707,118976,0,0,28.1568,90000,11628,16,0
21946,139040,1,0,4.5864,36600,13680,3,0
74391,73920,0,0,43.7304,68000,30780,8,0
68689,130240,0,0,17.8248,90000,24795,7,0
23160,246400,0,0,61.2864,48100,59850,24,0
118077,228800,0,0,15.5568,94600,59850,15,1
81186,265760,2,0,27.0984,78200,53865,12,0
129428,73920,0,0,39.312,3800,14364,13,0
112890,204160,0,0,41.1936,95800,58140,9,1
118147,98560,0,0,25.3176,20000,30780,6,0
131794,133760,0,0,22.26,78000,10260,14,1
53335,54560,1,0,47.6112,85300,13680,7,0
107453,102080,0,0,48.1824,10700,41040,10,0
104171,133760,0,0,36.3384,94500,57156.75,16,1
119230,119680,0,0,11.7936,91700,24624,11,1
78482,114400,0,0,40.4544,89500,19152,17,0
89156,110880,0,0,18.984,11500,25650,9,0
61650,96800,1,0,35.8848,93200,17100,29,0
49088,161920,0,0,45.612,36500,59850,19,0
105611,492800,1,0,10.8864,8000,30780,9,0
139076,130240,0,0,39.9672,14500,4275,13,0
125228,186560,0,0,7.4424,94500,51300,5,0
43665,91520,0,0,35.28,90200,17100,12,1
84301,70400,0,0,32.9112,56000,15390,8,0
61027,83230.4,2,0,27.4512,92800,19152,11,0
74952,109120,0,0,37.5312,97000,22230,17,0
132160,43120,0,0,51.2064,76100,10260,11,0
74138,114400,0,0,36.3216,63800,30780,17,0
68757,228800,0,0,27.1992,20100,27360,26,0
130709,126720,0,0,16.1616,10500,2565,7,0
57787,104781.6,0,0,26.9472,10300,10260,8,1
142648,163680,0,0,10.7688,94600,8550,6,1
141618,143594.88,0,0,17.8584,13000,6840,10,0
62079,79200,0,0,15.3216,92800,17100,16,0
143365,98560,4,0,25.6704,20700,16416,18,0
31164,89760,1,0,45.9312,29000,2052,16,0
91628,220000,1,0,18.4128,79900,11970,10,0
29385,165440,0,0,42.9576,48800,3078,13,0
40947,149600,1,1,32.2056,75000,30780,9,0
98437,96407.52,0,0,33.4656,43900,12312,14,0
45546,88000,0,0,18.0936,7000,17100,25,0
35364,91520,0,0,14.3136,16600,25650,7,0
104549,70400,0,0,36.9432,91300,24538.5,10,0
83887,327360,2,0,15.792,26300,59850,29,0
81548,88000,0,0,55.2552,38600,42750,11,0
79604,119680,1,0,28.2576,6000,10260,13,0
61834,114400,0,0,43.8312,27300,9576,7,1
132716,84480,0,0,36.3552,92400,10687.5,12,0
121214,132000,0,0,19.992,30100,23940,15,0
99568,144601.6,0,0,41.3784,72500,32148,18,0
109307,188320,0,0,42.084,28000,13680,10,0
69601,264000,0,0,23.2344,90000,34200,12,0
121696,84480,0,0,35.0784,12000,25650,15,0
61849,123200,1,0,37.8672,14400,45144,17,0
104741,170720,0,0,24.0744,90000,32832,11,0
24941,162800,0,0,19.2192,2100,23940,14,1
36779,103840,0,0,31.3656,49600,18810,10,0
39414,59840,0,0,25.2672,89500,13680,9,0
91947,123200,1,0,33.3648,94600,27702,14,0
23165,70400,0,0,24.5952,45800,9405,6,0
52550,96800,0,0,49.896,34600,25650,17,0
50720,49280,0,0,30.744,74000,5130,8,0
140796,158400,0,0,11.1552,32700,41040,10,0
35854,168960,0,0,4.9224,11500,5472,7,1
74892,149600,0,0,42.1848,7000,25650,8,0
112959,70400,0,0,36.8928,11500,16416,7,0
23259,79200,1,0,55.44,90800,20520,8,0
115466,121440,0,0,33.6672,23100,34200,15,1
109359,153120,0,0,24.9312,85300,42750,14,0
117709,84480,1,0,52.584,32400,25650,9,0
32435,56320,0,0,47.88,6400,13680,10,0
103978,116160,0,0,32.1384,71700,16971.75,20,0
50770,167200,0,0,4.5864,93000,20648.25,7,0
98217,140800,0,0,28.1568,77000,25650,6,0
140701,168960,2,0,35.3976,46300,8208,19,1
78693,176000,0,0,9.3408,60400,17100,3,0
131025,91520,0,0,22.26,38300,29326.5,8,0
